message,freq,data,authors,retweeted_authors
"rt @chiarabianchini: curcio: percorso di #socialprociv per definire le policy e creare una rete certificata, verificata e riconosciuta #pas…",7,2015-11-17,Cfm_Arpacal,
rt @chiarabianchini: si finanziano studi e ricerche per aprire canali istituzionali sui social ma non ci sono le persone per gestirli @gius…,7,2015-11-17,bezzoneclaudio,
"rt @cittadiniditwtt: .@annamasera ""importante scegliere tone of voice, istituzionale ma dinamico"" @montecitorio #pasocial",7,2015-11-17,paolomaiolin,
"rt @cittadiniditwtt: come potenziare la comunicazione pubblica: l’esperienza di google, facebook e twitter https://t.co/vlolxtsocn #pasocial",7,2015-11-17,Francesvivimar,
"rt @cittadiniditwtt: .@fdicos10 ""sul tema #socialmediamanager pubblico l'italia è all'avanguardia"" #pasocial",7,2015-11-17,belcinque,
rt @cittadiniditwtt: il @mi_bact è sbarcato sui social con obiettivo di valorizzare il patrimonio italiano #pasocial,7,2015-11-17,Ossmeteobargone,
rt @cittadiniditwtt: in diretta su #periscope: @mattbiff sindaco di prato a #pasocial https://t.co/majntorgxv,7,2015-11-17,LabbitAcademy,
"rt @cittadiniditwtt: la sfida alla complessità di @istat_it nelle parole di giulia mottura: ""stiamo puntando sulla comunicazione di big dat…",7,2015-11-17,belcinque,
rt @cittadiniditwtt: ora l'esperienza della community di @matera2019 ne avevamo parlato qui https://t.co/epmyvzyg7b #pasocial @ida_leone,7,2015-11-17,MariantoniettaT,
"rt @cittadiniditwtt: svolta social @mibact con obiettivi specifici: avvicinare giovani, informare, aprire dialogo e valorizzare patrimonio …",7,2015-11-17,SbeapVerona,
rt @danieladiamant5: @cittadiniditwtt anche i #dirigentiabagnomaria hanno sensibilità per #pasocial e non vedono l'ora di sperimentare! @al…,7,2015-11-17,valeriafedor,
rt @danmor62: #pasocial numero utenti o like non può essere unico parametro x comunicazione pa. contano autorevolezza ed efficacia @marcola…,7,2015-11-17,TukultiPD,
rt @italia_sicura: domani a roma gli stati generali della nuova comunicazione pubblica con @agidgov e protezione civile #pasocial https://t…,7,2015-11-16,lucamarchesi9,
"rt @italia_tt: #tt italiani delle 16:00
1. #1dit
2. #6yearsofmyworld
3. #francescamichielinblueroom
4. #amicicasting
5. #pasocial",7,2015-11-17,DaisyST17black,
rt @lindaemme: oggi attraverso @periscopeco di @cittadiniditwtt e l'account @instagram (@cittadiniditwitter) raccontiamo #pasocial https://…,7,2015-11-17,SaraPolinari,
"rt @lorepregliasco: .@annamasera: ""gli open data se non vengono rielaborati non servono a niente"" #pasocial",7,2015-11-17,giannilabbate,
"rt @lorepregliasco: .@diegociulli ""internet oggi è il media più pervasivo in italia"". dimentica la tv (91% di uso tutti i giorni, istat 201…",7,2015-11-17,Animamigrante,
rt @marchetourism: sandro giorgetti parla del caso #marche agli stati generali della nuova comunicazione pubblica a #roma #pasocial https:/…,7,2015-11-17,tampasingaroun1,
rt @mipaafsocial: #pasocial si comincia con un pensiero a #parigi #minutodisilenzio @palazzo_chigi https://t.co/mmkln8ufoh,7,2015-11-17,MAFlumero,
rt @mipaafsocial: #pasocial 'social strumenti utili per dare immediatezza e freschezza ai contenuti ministeriali' @alemiglioz @miursocial,7,2015-11-17,MAFlumero,
rt @miursocial: #pasocial e dopo questa mattinata di confronto se non lo stavate già facendo.... seguiteci! anche su @facebook @youtube @fl…,7,2015-11-17,Francesvivimar,
"rt @ttmobile_: tt italia 11:20
1.#1dit
2.#pasocial
3.#inmente
4.#terremoto
5.#coffeebreakla7
6.carlo verdone
7.belgio-spagna
8.il buongiorn…",7,2015-11-17,all_time_noia,
"rt @unitwitts: ""con l'account social facciamo emergere le notizie che già sono sono pubbliche ma difficili da reperire"", dice @annamasera a…",7,2015-11-17,ardovig,
rt @alemiglioz: c'è strada da fare ma abbiamo percorso le prime importanti miglia con @miursocial. ve le raccontiamo a #pasocial https://t.…,6,2015-11-17,Cineca1969,
rt @andmarru: in due anni pa italiana ha fatto grandi passi avanti su nuova comunicazione. lo dice @fdicos10 #pasocial,6,2015-11-17,belcinque,
"rt @andreacritico: #pasocial capire il cambiamento, comunicare in modo nuovo significa anche creare futuro https://t.co/xoyoloa3lc",6,2015-11-17,MarcheDel,
rt @angelagallo1: #pasocial il nuovo volto della comunicazione pubblica oggi a roma @cittadiniditwtt @mikipiraino @labsus1 https://t.co/pv2…,6,2015-11-17,MikiPiraino,
rt @apam_mn: #pasocial i #socialmedia nella #pubblicaamministrazione se ne parla a @palazzo_chigi il 17/11- ci saremo anche noi! https://t.…,6,2015-11-17,piciaro,
rt @apasini_: oggi a @palazzo_chigi stati generali comunicazione pa. @bresciamobilita rappresentante e bestpractice #tpl #pasocial https://…,6,2015-11-17,matteoparlato,
rt @carlattian: e cmq a #pasocial la social media strategy nella pa la spiegano le donne. quando si dice stare avanti @cittadiniditwtt,6,2015-11-17,Francesvivimar,
rt @chiarabianchini: a #pasocial si parla anche di @emergenzeprato per comunicare e diffondere in maniera ancora più virale le info in emer…,6,2015-11-17,MicheleMorandi,
rt @chiarabianchini: le istituzioni sono come le persone: devono sviluppare la loro personalità ascoltare trovare il proprio tone of voice …,6,2015-11-17,larobiz,
